Date,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
7/11/2017,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Tuesday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.4034048,37.77542071
7/11/2017,LOITERING,REMAINING ON CAMPUS WITHOUT CONSENT,Tuesday,MISSION,NONE,1100 Block of VALENCIA ST,-122.4208177,37.75448782
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Tuesday,MISSION,NONE,GUERRERO ST / DORLAND ST,-122.4238785,37.76234449
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,SOUTHERN,NONE,500 Block of BRYANT ST,-122.397404,37.78000813
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,MISSION,NONE,800 Block of SHOTWELL ST,-122.4153263,37.75482263
7/11/2017,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Tuesday,TENDERLOIN,"ARREST, BOOKED",HYDE ST / GOLDEN GATE AV,-122.4155082,37.78165428
7/11/2017,NON-CRIMINAL,LOST PROPERTY,Tuesday,BAYVIEW,NONE,1500 Block of 4TH ST,-122.3910935,37.7691766
7/11/2017,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,TARAVAL,"ARREST, BOOKED",BUCKINGHAM WY / WINSTON DR,-122.4786979,37.72820963
7/11/2017,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,MISSION,NONE,700 Block of VALENCIA ST,-122.4215693,37.76088159
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,NORTHERN,NONE,900 Block of OFARRELL ST,-122.4203754,37.78480062
7/11/2017,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Tuesday,TENDERLOIN,NONE,POWELL ST / OFARRELL ST,-122.4080405,37.7864094
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Tuesday,MISSION,NONE,SANCHEZ ST / 22ND ST,-122.4299616,37.75475965
7/11/2017,FRAUD,"CREDIT CARD, THEFT BY USE OF",Tuesday,PARK,NONE,100 Block of LOCKSLEY AV,-122.4630828,37.75773634
7/11/2017,DRUG/NARCOTIC,PLANTING/CULTIVATING MARIJUANA,Tuesday,INGLESIDE,"ARREST, BOOKED",100 Block of CHICAGO WY,-122.4308878,37.71106822
7/11/2017,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,SOUTHERN,NONE,MARKET ST / MONTGOMERY ST,-122.4020702,37.78871987
7/11/2017,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,TARAVAL,NONE,ULLOA ST / 47TH AV,-122.5055567,37.73985868
7/11/2017,NON-CRIMINAL,FOUND PROPERTY,Tuesday,NORTHERN,NONE,1100 Block of FILLMORE ST,-122.4321162,37.78003044
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Tuesday,NORTHERN,NONE,1500 Block of GREENWICH ST,-122.4251848,37.8002544
7/11/2017,MISSING PERSON,FOUND PERSON,Tuesday,NORTHERN,NONE,2200 Block of CLAY ST,-122.4301188,37.7912863
7/11/2017,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Tuesday,INGLESIDE,NONE,100 Block of BLYTHDALE AV,-122.4205568,37.71089458
7/11/2017,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Tuesday,BAYVIEW,NONE,17TH ST / VERMONT ST,-122.4044993,37.76466446
7/11/2017,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,NORTHERN,NONE,OCTAVIA ST / GROVE ST,-122.4248102,37.77760216
7/11/2017,ASSAULT,BATTERY,Tuesday,MISSION,NONE,1000 Block of VALENCIA ST,-122.4211483,37.75649776
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,RICHMOND,NONE,800 Block of LA PLAYA ST,-122.5100336,37.77230656
7/11/2017,WARRANTS,WARRANT ARREST,Tuesday,MISSION,"ARREST, BOOKED",1000 Block of POTRERO AV,-122.4065391,37.75648641
7/11/2017,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,SOUTHERN,NONE,BERRY ST / 7TH ST,-122.4000261,37.77051614
